,m,delta_scaling,occlusion_level,l2_diff_val_gt,validation_diff_svals,true_diff_svals,time_diff,fun,jac,nfev,njev,nit,status,message,x,success,hess_inv
16,15,0.1,0.1,34.268356461431104,"[29.23902253 29.49099761 29.51411094 29.56979688 29.97222971 30.29415627
 30.34952714 30.37154168 30.52104969 31.04423086 31.22048683 31.30436544
 31.90424311 32.4524697  33.03990471 34.36431449 34.43233508 35.72139726
 36.84546756]","[ 9.25540628  9.31156447  9.47747496  9.56133493  9.74355083  9.78742896
  9.93307201 10.04452318 10.37888563 10.39413749 10.84344162 11.14280334
 11.79262668 13.0582385  13.55711476 14.09250442 18.06344266 19.60408229
 25.48477758]",1839.286395,260.40342942389145,"[-2.07478479e-03 -2.50111043e-03 -3.18323146e-04 -2.97859515e-03
 -1.63140612e-03  1.80762072e-03 -1.63140612e-03  3.58113539e-04
 -1.93267624e-03 -2.00657269e-03  1.70530257e-05 -4.03588274e-04
 -5.68434189e-05 -3.17186277e-03  1.11413101e-03]",432,27,22,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.07976419 0.07560771 0.08392971 0.07311335 0.09059502 0.08134569
 0.08593352 0.06975351 0.07974739 0.07737758 0.07703731 0.08671506
 0.08768396 0.07224248 0.07281791]",True,<15x15 LbfgsInvHessProduct with dtype=float64>
17,15,0.1,0.5,34.143973762566084,"[33.53663177 33.79297026 34.06744938 34.55266073 34.57719686 34.92135059
 35.23776489 35.76081289 36.88931759 37.71846718 37.77439811 37.97359371
 38.0339277  38.99205857 39.71986901 43.22429129 51.91949624 56.04807283
 75.93999096]","[21.5046181  21.71706926 21.95734721 22.48263905 23.30697206 24.98282255
 25.1126084  26.14489945 27.12323608 27.15522584 28.52295719 28.68290007
 32.02546271 32.4860484  34.53794954 38.65842461 46.77455194 52.23970987
 73.03719052]",460.405948,339.65333841949126,"[-4.42241799e-03  2.71711542e-03  5.11590770e-05  3.50155460e-03
  4.85442797e-03  1.72235559e-03  6.48014975e-04  5.66728886e-03
  9.20863386e-04 -3.78577170e-03  4.40536496e-03  2.86490831e-03
 -4.62136996e-03 -1.21644916e-03 -5.22959454e-04]",208,13,11,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.22741315 0.20589228 0.25648629 0.22094932 0.24400683 0.24485946
 0.1955884  0.23454684 0.221335   0.22425222 0.24086649 0.21954125
 0.25473528 0.20649828 0.20044679]",True,<15x15 LbfgsInvHessProduct with dtype=float64>
18,20,0.0,0.0,34.05657925848446,"[28.617737   28.68567873 28.82229082 28.86567736 28.92490536 29.17979726
 29.32491358 29.58331683 29.68079068 30.37151097 30.55974867 30.89858148
 31.02675689 31.20250984 31.66842759 33.53448863 33.65491615 34.6941802
 34.99038403]","[ 6.20041916  6.23369059  6.24087693  6.32500329  6.33561203  6.37646067
  6.44144343  6.48375158  6.54916538  6.59729858  6.66541114  6.7025641
  6.85052653  7.19903564  7.2005628   7.39210853  7.44882255  8.39361882
 11.50009816]",1426.681118,257.2396094382586,"[ 0.00109708 -0.00049454  0.00033538 -0.00152909  0.0015973   0.00052864
  0.00084697  0.00104592  0.0003979  -0.00160867  0.00102318  0.00024443
 -0.00071054  0.00026716  0.00025011 -0.00034674 -0.00055707 -0.00080149
  0.0008697  -0.00025011]",336,16,13,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.0593081  0.05385206 0.0450659  0.04609014 0.05414412 0.0376537
 0.045457   0.04360925 0.05079128 0.04488539 0.04441309 0.04814229
 0.04906652 0.04569861 0.04873983 0.05933449 0.05431888 0.03613823
 0.04607818 0.04653632]",True,<20x20 LbfgsInvHessProduct with dtype=float64>
19,20,0.0,0.1,34.28669418586646,"[29.0758652  29.10852148 29.11560328 29.6131348  29.79964343 30.05468812
 30.0880891  30.77537669 30.90099993 30.92715972 30.97849789 31.10398924
 31.43785823 31.61678687 33.591904   33.61366756 34.82326107 35.11691233
 38.81521805]","[ 8.7475622   8.98922945  9.19210171  9.19417215  9.36317511  9.60967839
 10.19960714 10.60047153 11.29269819 11.57502883 11.80847928 11.92251177
 12.73880873 13.13990914 14.02403271 15.87179457 17.1860846  22.59896935
 31.75568785]",3909.471667,262.28287717771946,"[-0.01450644 -0.00847535 -0.01269314 -0.01077751 -0.00530918 -0.00915179
 -0.00231353 -0.01711555 -0.00914042 -0.00547971 -0.01616058 -0.00676437
 -0.00779892 -0.00977707  0.00902673  0.00445652  0.0041382  -0.00455884
 -0.00889031 -0.00828777]",798,38,28,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.05302659 0.05843647 0.05769186 0.04583238 0.04824589 0.07274138
 0.04811348 0.05796298 0.04829195 0.04696298 0.08783742 0.05610102
 0.04724071 0.05481672 0.05607508 0.05420013 0.0784731  0.04897973
 0.05420624 0.04985685]",True,<20x20 LbfgsInvHessProduct with dtype=float64>
20,20,0.0,0.5,34.08986073726648,"[32.35280592 32.46484042 32.65097826 33.04968127 33.30974633 33.49502301
 33.8345358  33.91126456 35.74834337 35.9269171  36.00883653 36.44789239
 36.96889013 37.43637446 39.21010652 39.61929139 47.27540286 51.68110393
 71.22762749]","[19.00232324 19.26497637 20.08903022 20.37323391 20.76097346 21.14802653
 21.7027161  22.40191224 23.91436403 25.32242917 26.11902926 27.35978883
 30.4043214  30.83651608 34.0505482  34.93336212 41.87025095 47.84713218
 67.83889768]",906.777132,324.6478981997865,"[ 4.20641300e-04 -2.67164069e-04  3.46744855e-04  5.68434189e-06
  2.72848411e-04  3.92219590e-04  2.04636308e-04 -1.36424205e-04
  1.42108547e-04  1.13686838e-05 -1.81898940e-04 -4.09272616e-04
 -3.41060513e-05  3.58113539e-04  1.53477231e-04  1.76214599e-04
 -5.17275112e-04 -3.18323146e-04 -6.76436685e-04 -1.42108547e-04]",357,17,14,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.19647592 0.19074656 0.15739434 0.15071028 0.16882356 0.1716263
 0.15558345 0.16160719 0.19309892 0.16528756 0.17122059 0.18436831
 0.16174073 0.12506741 0.16524444 0.17350571 0.14985024 0.20151602
 0.20040252 0.16870699]",True,<20x20 LbfgsInvHessProduct with dtype=float64>
21,20,0.1,0.0,34.20299571354323,"[28.68063191 28.76060683 28.91058782 29.11548019 29.15796969 29.32436611
 29.38859874 29.50660396 30.11218361 30.48878315 30.77675295 31.02185966
 31.24717727 31.37358572 31.50581432 33.71024459 33.96768476 34.56184357
 34.78455851]","[ 6.22037777  6.25697726  6.27589893  6.30226892  6.40207257  6.43975046
  6.51333148  6.5571452   6.59109999  6.59732244  6.70988111  6.90755199
  7.03441754  7.39889454  7.44575236  7.54305173  7.80602766  9.84126603
 13.67554762]",2073.340858,254.13755673395784,"[ 2.97291081e-03  2.89901436e-03 -2.10320650e-04  1.05728759e-03
  1.01181286e-03  4.20641299e-04 -7.73070496e-04  9.54969437e-04
 -3.12638804e-04  9.49285095e-04 -1.81898940e-04  2.47268872e-03
 -1.21076482e-03 -4.37694325e-04 -9.32232069e-04 -4.14956958e-04
  1.19371180e-03 -5.68434189e-06 -1.11413101e-03  2.32489583e-03]",483,23,17,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.04629592 0.04741282 0.04036227 0.04574772 0.04238999 0.04238166
 0.04741076 0.04536371 0.04657605 0.05417883 0.04745203 0.04362326
 0.04341223 0.0591657  0.04935334 0.05184211 0.05013132 0.0461841
 0.04699411 0.05287049]",True,<20x20 LbfgsInvHessProduct with dtype=float64>
22,20,0.1,0.1,34.31697252983751,"[29.06893538 29.24363065 29.30382562 29.35105943 29.77225822 29.80104376
 30.18165725 30.18922647 30.47803155 30.85873135 30.8587315  31.46880627
 31.55663268 31.7015751  32.57602587 33.71910446 34.04994968 35.26810197
 35.42709442]","[ 8.28536064  8.31264205  8.37531514  8.43597236  8.57420088  8.59072859
  8.81545923  8.91193169  9.07128345  9.19231103  9.73385557 10.44846677
 10.49200302 10.89946788 11.25565518 14.00762632 14.42567889 19.40193989
 20.04983693]",7445.574044,257.11726119964806,"[-2.76335754 -1.94493168 -2.27979058 -2.24484893 -3.09904067 -2.56000021
 -2.53003236 -2.86501063 -2.19037588 -1.84757596 -2.16523972 -2.37073437
 -2.06526352 -2.4880535  -3.31177148 -2.82711312 -2.07680841 -2.76882019
 -1.96505425 -1.8296646 ]",1491,71,23,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.06162401 0.06383391 0.06031971 0.09118874 0.0552058  0.06728223
 0.04707638 0.06194645 0.05136774 0.06672374 0.07622808 0.06412237
 0.05194045 0.05446065 0.05260227 0.06080311 0.05596911 0.05240463
 0.06661816 0.05800139]",True,<20x20 LbfgsInvHessProduct with dtype=float64>
23,20,0.1,0.5,33.907769231293805,"[32.34114133 32.83518375 32.99152455 33.15551529 33.38872511 33.41884004
 33.93206106 34.31451399 34.70720564 35.72958908 35.99949446 36.46583738
 37.16826687 37.41522476 37.83569594 38.49741497 49.90376243 50.98003056
 70.05984742]","[18.92344184 19.61424785 19.82920988 20.41863309 20.72381935 22.3482485
 22.80272128 23.00278968 23.81793235 23.936524   26.02167753 26.12595877
 28.6764363  29.74224418 31.61996336 32.3872958  44.45755917 46.98697311
 66.19680454]",608.914774,320.21480154403224,"[ 1.70530257e-05 -2.21689334e-04  6.30961950e-04  1.25055522e-04
 -1.36424205e-04 -7.04858394e-04  1.04591891e-03  3.12638804e-04
 -3.24007488e-04 -8.81072993e-04 -1.81898940e-04  1.87583282e-04
  2.10320650e-04  4.77484719e-04  6.25277608e-04 -2.78532753e-04
 -5.79802873e-04  8.64019967e-04  2.16004992e-04  2.44426701e-04]",252,12,10,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.15892735 0.15374225 0.17623366 0.16318468 0.17260115 0.15959877
 0.17386254 0.15299664 0.18840662 0.19376647 0.20780653 0.17559887
 0.18357031 0.15948557 0.15308993 0.15498505 0.15544991 0.1676351
 0.22496724 0.19520257]",True,<20x20 LbfgsInvHessProduct with dtype=float64>
24,30,0.0,0.0,34.32438483583532,"[28.30025377 28.53225168 28.69157909 28.73046159 28.85498758 29.04674144
 29.4124019  29.75919439 29.77488062 30.31542008 30.32239359 30.64951604
 30.82693601 31.21689652 31.72733309 33.67151522 33.72020549 34.52159936
 34.82708319]","[5.13455297 5.16854781 5.2155847  5.24381632 5.25497796 5.29684081
 5.3479692  5.37450056 5.45065898 5.46555912 5.48138252 5.53346103
 5.60557161 5.95099345 5.98270645 6.11877721 6.14204919 6.63971473
 8.82311172]",2458.060277,256.65639532175294,"[ 0.00429736 -0.00286491 -0.00114824  0.00463274  0.01123226  0.01286935
  0.00738396 -0.00102887  0.00169962 -0.00017053  0.00706564  0.0048658
 -0.00081286  0.00216573  0.00204636  0.00175078  0.002467    0.00532054
  0.004718    0.00405294 -0.00069917  0.00143245  0.00617888  0.00332534
  0.0033026   0.0007276   0.01173248  0.00114824  0.01013518 -0.00398472]",496,16,12,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.0380969  0.03854772 0.03694405 0.03434366 0.04232894 0.02869273
 0.03009268 0.02375399 0.03206848 0.03223782 0.02514282 0.03406685
 0.02797854 0.02025004 0.04087388 0.01936196 0.02980188 0.04632202
 0.03508882 0.02097642 0.0363195  0.02599944 0.03649688 0.03442154
 0.03552899 0.03543359 0.03557607 0.02454104 0.03897978 0.02872206]",True,<30x30 LbfgsInvHessProduct with dtype=float64>
25,30,0.0,0.1,33.866879529800215,"[28.652376   28.84497071 29.07683926 29.18092251 29.35677266 29.46302783
 29.51477993 29.52379322 30.44785149 30.61734668 30.87105791 30.90695284
 30.94700098 31.36516705 31.54964675 33.69114686 33.72188892 34.66801067
 34.69618962]","[ 6.78661811  6.91288135  6.93198287  7.0305971   7.11584645  7.17637429
  7.18947727  7.36321972  7.37349939  7.46474453  8.17927431  8.2489024
  8.44477595  9.21361819  9.54680032 10.3369693  12.31124928 15.23426181
 17.2601922 ]",4754.247658,257.7208719775228,"[ 3.10365067e-03 -3.18891580e-03 -4.45652404e-03 -4.35420588e-03
 -4.11546352e-03 -3.63797881e-03 -3.97903932e-05 -1.92130756e-03
  1.04591891e-03 -4.37694325e-03 -2.70574674e-03  4.03588274e-04
 -3.35944605e-03  1.23350219e-03 -7.10542736e-04 -2.44995135e-03
 -3.07522896e-03 -3.49587026e-03 -1.75077730e-03 -3.55271368e-03
 -1.62572178e-03 -5.64455149e-03  1.13118404e-03  2.91606739e-03
  1.39834810e-03 -2.67164069e-04 -2.89901436e-03 -2.59205990e-03
  1.83035809e-03 -3.17754711e-03]",713,23,19,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.03077059 0.04487014 0.04338735 0.04651237 0.05118022 0.04781936
 0.03536041 0.0390638  0.02432562 0.05853457 0.0426855  0.01998969
 0.04436862 0.01852683 0.03782824 0.05013059 0.03413629 0.04021314
 0.03420606 0.03681712 0.06276346 0.05862482 0.032891   0.03750894
 0.03216619 0.04537446 0.04265115 0.03272703 0.04121785 0.04864269]",True,<30x30 LbfgsInvHessProduct with dtype=float64>
